Rank,State,Avg.Labor Cost,Avg. Parts Cost,Avg. Repair Costs (Parts & Labor)
1,Connecticut,$136.84 ,$281.53 ,$418.37 
2,Colorado,$148.66 ,$268.48 ,$417.14 
3,California,$144.56 ,$271.10 ,$415.66 
4,District of Columbia,$141 ,$270.00 ,$411.00 
5,Georgia,$145.34 ,$262.37 ,$407.71 
6,North Carolina,$144.65 ,$257.96 ,$402.61 
7,Utah,$142.93 ,$258.72 ,$401.65 
8,Virginia,$143.25 ,$257.92 ,$401.17 
9,New Jersey,$138.50 ,$261.11 ,$399.61 
10,Alabama,$149.58 ,$249.75 ,$399.33 
11,Tennessee,$146.80 ,$252.31 ,$399.11 
12,Maryland,$141.30 ,$257.77 ,$399.07 
13,Nevada,$138.58 ,$259.68 ,$398.26 
14,Wyoming,$151.18 ,$246.61 ,$397.79 
15,Texas,$145.86 ,$251.67 ,$397.53 
16,Florida,$142.74 ,$253.55 ,$396.29 
17,South Carolina,$146.75 ,$249.08 ,$395.83 
18,Mississippi,$151.67 ,$242.36 ,$394.03 
19,Oregon,$139.62 ,$254.32 ,$393.94 
20,New Mexico,$145.82 ,$246.71 ,$392.53 
21,Washington,$142.59 ,$249.87 ,$392.46 
22,Delaware,$142.15 ,$248.74 ,$390.89 
23,Montana,$147.28 ,$242.56 ,$389.84 
24,Idaho,$143.84 ,$245.21 ,$389.05 
25,Arizona,$138.78 ,$250.14 ,$388.92 
26,Louisiana,$149.34 ,$239.32 ,$388.66 
27,Alaska,$148.66 ,$238.39 ,$387.05 
28,Rhode Island,$131.61 ,$255.32 ,$386.93 
29,New York,$135.19 ,$251.36 ,$386.55 
30,Massachusetts,$132.83 ,$253.37 ,$386.20 
31,Kentucky,$146.21 ,$238.55 ,$384.76 
32,Pennsylvania,$139.66 ,$244.67 ,$384.33 
33,West Virginia,$143.25 ,$240.23 ,$383.48 
34,Arkansas,$148.10 ,$234.51 ,$382.61 
35,Hawaii,$136.74 ,$244.49 ,$381.23 
36,Oklahoma,$147.81 ,$231.96 ,$379.77 
37,Illinois,$140.89 ,$238.34 ,$379.23 
38,Missouri,$146.49 ,$232.36 ,$378.85 
39,Minnesota,$146.02 ,$231.66 ,$377.68 
40,South Dakota,$147.27 ,$230.37 ,$377.64 
41,Nebraska,$147.41 ,$227.12 ,$374.53 
42,Vermont,$127.15 ,$247.30 ,$374.45 
43,Kansas,$146.87 ,$227.57 ,$374.44 
44,New Hampsire,$131.38 ,$239.41 ,$370.79 
45,Indiana,$143.46 ,$221.30 ,$364.76 
46,North Dakota,$145.66 ,$218.96 ,$364.62 
47,Wisconsin,$138.95 ,$222.16 ,$361.11 
48,Iowa,$145.96 ,$214.00 ,$359.96 
49,Michigan,$145.03 ,$211.26 ,$356.29 
50,Ohio,$136.07 ,$217.69 ,$353.76 
51,Maine,$135.35 ,$213.90 ,$349.25 
