car,model,body part,shop1 (eqbal),shop2(haraj),shop3 
camry,2018,car boot,508,1400,1413.5
camry,2018,car hood,501,1455,2309.83
camry,2018,driver door(f/r),1149,1500,2679
camry,2018,fender (f/l),275,1000,1025.8
camry,2018,fender (f/r),250,1000,1025.8
camry,2018,fender (r/l),275,1350,995
camry,2018,fender (r/r),250,1350,995
camry,2018,front bumper,275,350,1368.5
camry,2018,headlight (l),599,750,2750
camry,2018,headlight (r),599,750,2750
camry,2018,passenger door (f/l),890,2200,2679
camry,2018,passenger door (r/l),960,1800,1717.95
camry,2018,passenger door (r/r),960,1800,"1717,95"
camry,2018,rear bumper,225,600,1390.35
camry,2018,rear light (l),213,150,1096
camry,2018,rear light (r),213,150,1096
camry,2018,side bumper(l),null,650,890
camry,2018,side bumper(r),null ,650,890
camry,2019,car boot,890,1705,2794.67
camry,2019,car hood,501,1224,1569
camry,2019,driver door(f/r),1100,1030,2785.51
camry,2019,fender (f/l),275,477,1231.65
camry,2019,fender (f/r),250,477,1231.65
camry,2019,fender (r/l),275,477,1086.76
camry,2019,fender (r/r),250,477,1086.76
camry,2019,front bumper,275,530,1299.5
camry,2019,headlight (l),599,450,2750
camry,2019,headlight (r),599,450,2750
camry,2019,passenger door (f/l),1050,1030,2785.51
camry,2019,passenger door (r/l),890,1030,2785.51
camry,2019,passenger door (r/r),890,1030,2785.51
camry,2019,rear bumper,225,640,1390.35
camry,2019,rear light (l),239,1200,1096
camry,2019,rear light (r),239,1200,1096
camry,2019,side bumper(l),215,670,890
camry,2019,side bumper(r),215,670,890
camry,2020,car boot,1790,1705,2717.45
camry,2020,car hood,1630,1224,2797.67
camry,2020,driver door(f/r),1110,3495,3285.38
camry,2020,fender (f/l),275,340,1025.8
camry,2020,fender (f/r),250,340,1025.8
camry,2020,fender (r/l),275,340,995
camry,2020,fender (r/r),250,340,995
camry,2020,front bumper,620,1030,1299.5
camry,2020,headlight (l),599,450,2750
camry,2020,headlight (r),599,450,2750
camry,2020,passenger door (f/l),2900,3853,2758.51
camry,2020,passenger door (r/l),1600,1637,2758.51
camry,2020,passenger door (r/r),1800,1810,2758.51
camry,2020,rear bumper,950,790,1390.35
camry,2020,rear light (l),790,1900,1096
camry,2020,rear light (r),790,1900,1096
camry,2020,side bumper(l),450,215,890
camry,2020,side bumper(r),450,215,890
camry,2021,car boot,2200,1705,2794.67
camry,2021,car hood,1630,1224,2309.83
camry,2021,driver door(f/r),1480,3459,3285.38
camry,2021,fender (f/l),650,477,1025.8
camry,2021,fender (f/r),720,477,1025.8
camry,2021,fender (r/l),650,477,1170.7
camry,2021,fender (r/r),720,477,1170.7
camry,2021,front bumper,670,800,1299.5
camry,2021,headlight (l),920,815,4109
camry,2021,headlight (r),920,815,4109
camry,2021,passenger door (f/l),2800,3459,2758.51
camry,2021,passenger door (r/l),1800,3852,2758.51
camry,2021,passenger door (r/r),1600,1637,2758.51
camry,2021,rear bumper,890,890,1390.35
camry,2021,rear light (l),1200,2800,4626
camry,2021,rear light (r),1200,2800,4626
camry,2021,side bumper(l),null  ,450,680
camry,2021,side bumper(r),null  ,450,680
camry,2022,car boot,2389,3590,5797.55
camry,2022,car hood,1630,1064,2677.37
camry,2022,driver door(f/r),2750,3853,2280.51
camry,2022,fender (f/l),484.84,610,1025.8
camry,2022,fender (f/r),484.84,610,1025.8
camry,2022,fender (r/l),484.84,834,1206.24
camry,2022,fender (r/r),484.84,834,1206.24
camry,2022,front bumper,760,930,1299.5
camry,2022,headlight (l),853,815,2209.15
camry,2022,headlight (r),853,815,2209.15
camry,2022,passenger door (f/l),1698,1500,2280.51
camry,2022,passenger door (r/l),1698,1500,2280.51
camry,2022,passenger door (r/r),1698,1500,2280.51
camry,2022,rear bumper,839,1493,1390.35
camry,2022,rear light (l),830,816,2897
camry,2022,rear light (r),830,816,2897
camry,2022,side bumper(l),null  ,450,680
camry,2022,side bumper(r),null  ,450,680
camry,2023,car boot,2800,2350,5797.55
camry,2023,car hood,1630,1060,3797.59
camry,2023,driver door(f/r),1900,3000,2280
camry,2023,fender (f/l),875,834,1025.8
camry,2023,fender (f/r),650,834,1025.8
camry,2023,fender (r/l),875,834,1260
camry,2023,fender (r/r),650,843,1260
camry,2023,front bumper,620,590,1860
camry,2023,headlight (l),930,1890,4710
camry,2023,headlight (r),930,1890,4710
camry,2023,passenger door (f/l),1800,2800,2280
camry,2023,passenger door (r/l),1800,2800,2280
camry,2023,passenger door (r/r),1800,2800,2280
camry,2023,rear bumper,750,1080,1390.35
camry,2023,rear light (l),1200,2800,4626
camry,2023,rear light (r),1200,2800,4626
camry,2023,side bumper(l),null  ,215,560
camry,2023,side bumper(r),null  ,215,560
camry,2024,car boot,1630,1705,3101
camry,2024,car hood,2300,1224,4532
camry,2024,driver door(f/r),5100,3853,4200
camry,2024,fender (f/l),650,715,1301
camry,2024,fender (f/r),875,887,1613
camry,2024,fender (r/l),650,1890,2900
camry,2024,fender (r/r),950,1700,2900
camry,2024,front bumper,650,1230,1484.13
camry,2024,headlight (l),2300,2500,3400
camry,2024,headlight (r),2300,2500,3400
camry,2024,passenger door (f/l),6200,3459,3330
camry,2024,passenger door (r/l),1800,1800,3800
camry,2024,passenger door (r/r),1940,3800,3380
camry,2024,rear bumper,890,900,918
camry,2024,rear light (l),1633,2800,4626
camry,2024,rear light (r),1633,2800,4626
camry,2024,side bumper(l),null  ,450,680
camry,2024,side bumper(r),null  ,450,680
elantra,2018,car boot,1900,1000,2532.7
elantra,2018,car hood,382,1200,2409.54
elantra,2018,driver door(f/r),1200,1350,1750.7
elantra,2018,fender (f/l),600,550,869.19
elantra,2018,fender (f/r),600,580,869.19
elantra,2018,fender (r/l),600,800,2809.4
elantra,2018,fender (r/r),600,800,2809.4
elantra,2018,front bumper,206,850,972.61
elantra,2018,headlight (l),300,230,1696.25
elantra,2018,headlight (r),276,230,1696.25
elantra,2018,passenger door (f/l),1200,1100,1750.7
elantra,2018,passenger door (r/l),1200,1100,3237
elantra,2018,passenger door (r/r),1200,1800,3237
elantra,2018,rear bumper,239,900,1265
elantra,2018,rear light (l),301,117,582
elantra,2018,rear light (r),276,117,480
elantra,2018,side bumper(l),null  ,450,680
elantra,2018,side bumper(r),null  ,450,680
elantra,2019,car boot,1554,1100,2532.7
elantra,2019,car hood,436,1200,1945.23
elantra,2019,driver door(f/r),1200,1350,1750.7
elantra,2019,fender (f/l),188,550,2500
elantra,2019,fender (f/r),380,580,2500
elantra,2019,fender (r/l),188,550,2232.15
elantra,2019,fender (r/r),480,580,2232.15
elantra,2019,front bumper,153,850,1143
elantra,2019,headlight (l),460,1200,3409.5
elantra,2019,headlight (r),460,1200,3409.5
elantra,2019,passenger door (f/l),1100,1000,1750.7
elantra,2019,passenger door (r/l),1100,1780,2800
elantra,2019,passenger door (r/r),1100,1780,2800
elantra,2019,rear bumper,239,600,1414.5
elantra,2019,rear light (l),280,120,1298
elantra,2019,rear light (r),176,120,1298
elantra,2019,side bumper(l),null  ,450,680
elantra,2019,side bumper(r),null  ,450,680
elantra,2020,car boot,1554,1200,2532.7
elantra,2020,car hood,436,1100,1945.23
elantra,2020,driver door(f/r),1400,1350,3568.27
elantra,2020,fender (f/l),188,550,1955
elantra,2020,fender (f/r),480,580,1955
elantra,2020,fender (r/l),859,288,2807
elantra,2020,fender (r/r),850,288,2807
elantra,2020,front bumper,153,283,1143
elantra,2020,headlight (l),460,320,2385.57
elantra,2020,headlight (r),460,320,2385.57
elantra,2020,passenger door (f/l),3560,2693,3568.27
elantra,2020,passenger door (r/l),3560,2693,3568.27
elantra,2020,passenger door (r/r),3560,2693,3568.27
elantra,2020,rear bumper,800,520,1414.5
elantra,2020,rear light (l),280,680,1900
elantra,2020,rear light (r),175,120,1900
elantra,2020,side bumper(l),null  ,650,860
elantra,2020,side bumper(r),null  ,650,860
elantra,2021,car boot,1554,3373,3500
elantra,2021,car hood,752,2888,3411.48
elantra,2021,driver door(f/r),814,3568,3515.48
elantra,2021,fender (f/l),413,721,2225.77
elantra,2021,fender (f/r),340,721,2225.77
elantra,2021,fender (r/l),413,890,2807
elantra,2021,fender (r/r),340,890,2807
elantra,2021,front bumper,288,550,1161
elantra,2021,headlight (l),412,1150,2385.57
elantra,2021,headlight (r),412,1150,2385.57
elantra,2021,passenger door (f/l),3586,2639,3515.48
elantra,2021,passenger door (r/l),1500,1700,3380
elantra,2021,passenger door (r/r),1500,1700,3380
elantra,2021,rear bumper,239,800,1200
elantra,2021,rear light (l),280,1250,890
elantra,2021,rear light (r),280,1250,890
elantra,2021,side bumper(l),null  ,450,680
elantra,2021,side bumper(r),null  ,450,680
elantra,2022,car boot,752,1700,3373.17
elantra,2022,car hood,3560,1600,3411.48
elantra,2022,driver door(f/r),814,1700,3515.48
elantra,2022,fender (f/l),413,900,1955
elantra,2022,fender (f/r),188,900,1955
elantra,2022,fender (r/l),413,900,2802
elantra,2022,fender (r/r),188,900,2807
elantra,2022,front bumper,288,480,1661
elantra,2022,headlight (l),302,412,2385.57
elantra,2022,headlight (r),302,412,2385.57
elantra,2022,passenger door (f/l),3560,1900,3515.48
elantra,2022,passenger door (r/l),1500,1600,3380
elantra,2022,passenger door (r/r),1500,1700,3380
elantra,2022,rear bumper,239,650,975.5
elantra,2022,rear light (l),560,1250,890
elantra,2022,rear light (r),142,1250,890
elantra,2022,side bumper(l),null  ,129,450
elantra,2022,side bumper(r),null  ,129,450
elantra,2023,car boot,645,1239,2883.58
elantra,2023,car hood,2200,1600,3339.82
elantra,2023,driver door(f/r),1700,2400,"2707,97"
elantra,2023,fender (f/l),1200,1050,1755.24
elantra,2023,fender (f/r),1200,1050,1755.24
elantra,2023,fender (r/l),1200,1050,1755.24
elantra,2023,fender (r/r),1200,1050,1755.24
elantra,2023,front bumper,288,550,632
elantra,2023,headlight (l),1200,700,2180
elantra,2023,headlight (r),1200,700,2180
elantra,2023,passenger door (f/l),1800,2500,2707.97
elantra,2023,passenger door (r/l),1500,1700,2707.97
elantra,2023,passenger door (r/r),1500,1700,2707.97
elantra,2023,rear bumper,261,460,1293
elantra,2023,rear light (l),184,390,2112
elantra,2023,rear light (r),142,390,2112
elantra,2023,side bumper(l),null  ,450,890
elantra,2023,side bumper(r),null  ,450,890
elantra,2024,car boot,3800,3500,5129.11
elantra,2024,car hood,3500,2500,6020.35
elantra,2024,driver door(f/r),3500,2706,4129.11
elantra,2024,fender (f/l),200,980,1755.35
elantra,2024,fender (f/r),200,980,1755.35
elantra,2024,fender (r/l),2500,2800,1755.35
